BANDEIRANTES-PR;86360000;CORNELIO PROCOPIO-PR;86300000; 29.602 KM
BANDEIRANTES-PR;86360000;LEOPOLIS-PR;86330000; 40.092 KM
BANDEIRANTES-PR;86360000;CAMBARA-PR;86390000; 30.647 KM
CORNELIO PROCOPIO-PR;86300000;LEOPOLIS-PR;86330000; 15.867 KM
CORNELIO PROCOPIO-PR;86300000;CAMBARA-PR;86390000; 60.339 KM
LEOPOLIS-PR;86330000;CAMBARA-PR;86390000; 69.754 KM
